fold_number,fold_label,model_id,model_label,complexity,training_start,training_end,test_start,test_end,train_observations,train_failures,train_normal_observations,train_normal_failures,train_normal_failure_rate,train_elevated_observations,train_elevated_observation_share,train_elevated_failures,train_elevated_failure_rate,train_elevated_rate_lift_vs_normal,train_elevated_failure_capture,train_failure_capture_efficiency,train_odds_ratio,train_fisher_p_value,train_direction_supportive,test_observations,test_failures,test_normal_observations,test_normal_failures,test_normal_failure_rate,test_elevated_observations,test_elevated_observation_share,test_elevated_failures,test_elevated_failure_rate,test_elevated_rate_lift_vs_normal,test_elevated_failure_capture,test_failure_capture_efficiency,test_odds_ratio,test_fisher_p_value,test_direction_supportive,train_normal_probability,train_elevated_probability,train_baseline_probability,test_model_brier_score,test_baseline_brier_score,test_brier_skill_vs_baseline,test_model_log_loss,test_baseline_log_loss,test_log_loss_improvement,test_informative
3,2017-2019,atr_both,Both ATR expansion flags,2,2005-05-13,2016-12-30,2017-01-06,2019-12-27,608,9,538,6,0.011152416356877323,70,0.11513157894736842,3,0.04285714285714286,3.842857142857143,0.3333333333333333,2.895238095238095,3.970149253731343,0.07381525857662283,True,156,3,134,2,0.014925373134328358,22,0.14102564102564102,1,0.045454545454545456,3.0454545454545454,0.3333333333333333,2.3636363636363633,3.142857142857143,0.3682382133995037,True,0.012059369202226345,0.04929577464788732,0.015599343185550082,0.01875717943794069,0.01887413400068402,0.00619655252734197,0.09300547716625171,0.09543006585504113,0.0024245886887894197,True
4,2020-2022,full_three_factor_score,Full score: at least 2 of 3 flags,3,2005-05-13,2019-12-27,2020-01-03,2022-12-30,764,12,632,6,0.00949367088607595,132,0.17277486910994763,6,0.045454545454545456,4.787878787878788,0.5,2.893939393939394,4.968253968253968,0.008937714559288015,True,157,5,120,3,0.025,37,0.2356687898089172,2,0.05405405405405406,2.1621621621621623,0.4,1.6972972972972973,2.2285714285714286,0.3365709696098024,True,0.010268562401263823,0.04887218045112782,0.016339869281045753,0.030853039741772635,0.0310733690809213,0.0070906163594582905,0.14480554225354497,0.1469739567039757,0.002168414450430728,True
4,2020-2022,any_one_flag,Any one of the three flags,3,2005-05-13,2019-12-27,2020-01-03,2022-12-30,764,12,380,4,0.010526315789473684,384,0.5026178010471204,8,0.020833333333333332,1.9791666666666665,0.6666666666666666,1.3263888888888888,2.0,0.3839471525757545,True,157,5,55,1,0.01818181818181818,102,0.6496815286624203,4,0.0392156862745098,2.156862745098039,0.8,1.231372549019608,2.204081632653061,0.6579340117453945,True,0.011811023622047244,0.02207792207792208,0.016339869281045753,0.030937232006955404,0.0310733690809213,0.0043811494534554685,0.143445226102478,0.1469739567039757,0.0035287306014976927,True
4,2020-2022,rolling_atr_only,Rolling four-week ATR expansion only,1,2005-05-13,2019-12-27,2020-01-03,2022-12-30,764,12,572,6,0.01048951048951049,192,0.2513089005235602,6,0.03125,2.9791666666666665,0.5,1.9895833333333335,3.043010752688172,0.08435771748831941,True,157,5,116,2,0.017241379310344827,41,0.2611464968152866,3,0.07317073170731707,4.2439024390243905,0.6,2.297560975609756,4.5,0.11215375067971788,True,0.011343804537521814,0.03367875647668394,0.016339869281045753,0.03066231813822277,0.0310733690809213,0.01322839958641342,0.13842838051564407,0.1469739567039757,0.008545576188331627,True
4,2020-2022,weekly_atr_only,Weekly ATR expansion only,1,2005-05-13,2019-12-27,2020-01-03,2022-12-30,764,12,561,7,0.012477718360071301,203,0.26570680628272253,5,0.024630541871921183,1.9739619985925405,0.4166666666666667,1.568144499178982,1.9985569985569986,0.31935491158237783,True,157,5,105,3,0.02857142857142857,52,0.33121019108280253,2,0.038461538461538464,1.3461538461538463,0.4,1.2076923076923078,1.36,1.0,True,0.013345195729537367,0.02696078431372549,0.016339869281045753,0.031010086285613525,0.0310733690809213,0.002036560475401794,0.14594560110603766,0.1469739567039757,0.001028355597938041,True
4,2020-2022,trend_only,Below 40-week SMA only,1,2005-05-13,2019-12-27,2020-01-03,2022-12-30,764,12,610,7,0.011475409836065573,154,0.20157068062827224,5,0.032467532467532464,2.8293135435992576,0.4166666666666667,2.067099567099567,2.890699904122723,0.07307222783617787,True,157,5,103,4,0.038834951456310676,54,0.34394904458598724,1,0.018518518518518517,0.47685185185185186,0.2,0.5814814814814816,0.4669811320754717,0.6604839582032923,False,0.012274959083469721,0.035483870967741936,0.016339869281045753,0.031301552526411064,0.0310733690809213,-0.0073433764100547805,0.15335679045003725,0.1469739567039757,-0.00638283374606155,True
4,2020-2022,atr_any,Either ATR expansion flag,2,2005-05-13,2019-12-27,2020-01-03,2022-12-30,764,12,461,5,0.010845986984815618,303,0.39659685863874344,7,0.0231023102310231,2.13003300330033,0.5833333333333334,1.470847084708471,2.156756756756757,0.23582574400941417,True,157,5,85,1,0.011764705882352941,72,0.4585987261146497,4,0.05555555555555555,4.722222222222222,0.8,1.7444444444444445,4.9411764705882355,0.18009255999804585,True,0.011904761904761904,0.024671052631578948,0.016339869281045753,0.030794217329496977,0.0310733690809213,0.00898363324225826,0.1397706268285177,0.1469739567039757,0.007203329875457992,True
4,2020-2022,atr_both,Both ATR expansion flags,2,2005-05-13,2019-12-27,2020-01-03,2022-12-30,764,12,672,8,0.011904761904761904,92,0.12041884816753927,4,0.043478260869565216,3.6521739130434785,0.3333333333333333,2.7681159420289854,3.772727272727273,0.045562954206251775,True,157,5,136,4,0.029411764705882353,21,0.1337579617834395,1,0.047619047619047616,1.619047619047619,0.2,1.4952380952380953,1.65,0.5171247490951619,True,0.01263001485884101,0.04838709677419355,0.016339869281045753,0.031038519559524354,0.0310733690809213,0.00112152374936203,0.14767488650080707,0.1469739567039757,-0.0007009297968313677,True
5,2023-2026,full_three_factor_score,Full score: at least 2 of 3 flags,3,2005-05-13,2022-12-30,2023-01-06,2026-06-05,921,17,752,9,0.011968085106382979,169,0.18349619978284473,8,0.047337278106508875,3.955292570677186,0.47058823529411764,2.5645666550643926,4.1021394064872325,0.005930954564547125,True,179,3,151,2,0.013245033112582781,28,0.1564245810055866,1,0.03571428571428571,2.696428571428571,0.3333333333333333,2.130952380952381,2.759259259259259,0.4015771404010303,True,0.012616201859229747,0.05,0.01898047722342733,0.016444523148130497,0.016483817938307457,0.0023838403411167164,0.08389927879026557,0.08528327778111909,0.0013839989908535216,True
5,2023-2026,any_one_flag,Any one of the three flags,3,2005-05-13,2022-12-30,2023-01-06,2026-06-05,921,17,435,5,0.011494252873563218,486,0.5276872964169381,12,0.024691358024691357,2.148148148148148,0.7058823529411765,1.3376906318082789,2.1772151898734178,0.1502226240891541,True,179,3,102,1,0.00980392156862745,77,0.4301675977653631,2,0.025974025974025976,2.6493506493506493,0.6666666666666666,1.5497835497835497,2.6933333333333334,0.578024510361953,True,0.01261467889908257,0.02566735112936345,0.01898047722342733,0.016419335780348484,0.016483817938307457,0.003911846041997347,0.0834097198531338,0.08528327778111909,0.0018735579279852838,True
5,2023-2026,rolling_atr_only,Rolling four-week ATR expansion only,1,2005-05-13,2022-12-30,2023-01-06,2026-06-05,921,17,688,8,0.011627906976744186,233,0.252985884907709,9,0.03862660944206009,3.321888412017168,0.5294117647058824,2.09265337036102,3.4151785714285716,0.01933363920072247,True,179,3,133,2,0.015037593984962405,46,0.2569832402234637,1,0.021739130434782608,1.4456521739130435,0.3333333333333333,1.2971014492753623,1.4555555555555555,1.0,True,0.012336719883889695,0.0405982905982906,0.01898047722342733,0.016567131865316498,0.016483817938307457,-0.005054285804469094,0.08651164641608211,0.08528327778111909,-0.0012283686349630202,True
5,2023-2026,weekly_atr_only,Weekly ATR expansion only,1,2005-05-13,2022-12-30,2023-01-06,2026-06-05,921,17,666,10,0.015015015015015015,255,0.2768729641693811,7,0.027450980392156862,1.828235294117647,0.4117647058823529,1.48719723183391,1.8516129032258064,0.27118573713353117,True,179,3,131,1,0.007633587786259542,48,0.2681564245810056,2,0.041666666666666664,5.458333333333333,0.6666666666666666,2.486111111111111,5.6521739130434785,0.1756132644061413,True,0.015742128935532233,0.029296875,0.01898047722342733,0.016340730102045183,0.016483817938307457,0.008680503315299681,0.08180173726513772,0.08528327778111909,0.003481540515981374,True
5,2023-2026,trend_only,Below 40-week SMA only,1,2005-05-13,2022-12-30,2023-01-06,2026-06-05,921,17,713,11,0.015427769985974754,208,0.2258414766558089,6,0.028846153846153848,1.869755244755245,0.35294117647058826,1.5627828054298645,1.8955895589558955,0.23886379468284072,True,179,3,162,2,0.012345679012345678,17,0.09497206703910614,1,0.058823529411764705,4.764705882352941,0.3333333333333333,3.5098039215686274,5.0,0.26002921497262027,True,0.01610644257703081,0.03110047846889952,0.01898047722342733,0.016379005488681053,0.016483817938307457,0.006358505658014213,0.0828554388646079,0.08528327778111909,0.002427838916511188,True
5,2023-2026,atr_any,Either ATR expansion flag,2,2005-05-13,2022-12-30,2023-01-06,2026-06-05,921,17,546,6,0.01098901098901099,375,0.40716612377850164,11,0.029333333333333333,2.669333333333333,0.6470588235294118,1.5891764705882354,2.71978021978022,0.04850552275025158,True,179,3,107,1,0.009345794392523364,72,0.4022346368715084,2,0.027777777777777776,2.9722222222222223,0.6666666666666666,1.6574074074074072,3.0285714285714285,0.5655927203012142,True,0.011882998171846435,0.030585106382978722,0.01898047722342733,0.016404217267795822,0.016483817938307457,0.0048290190300298574,0.08295337320543365,0.08528327778111909,0.0023299045756854375,True
5,2023-2026,atr_both,Both ATR expansion flags,2,2005-05-13,2022-12-30,2023-01-06,2026-06-05,921,17,808,12,0.01485148514851485,113,0.12269272529858849,5,0.04424778761061947,2.9793510324483776,0.29411764705882354,2.3971889640812076,3.0709876543209877,0.04679036181458695,True,179,3,157,2,0.012738853503184714,22,0.12290502793296089,1,0.045454545454545456,3.568181818181818,0.3333333333333333,2.712121212121212,3.6904761904761907,0.32685341126829787,True,0.015451174289245983,0.04824561403508772,0.01898047722342733,0.016370916918091918,0.016483817938307457,0.006849203299750362,0.08281358536396857,0.08528327778111909,0.002469692417150518,True
