robustness_rank,normal_observations,normal_failures,normal_failure_rate,elevated_observations,elevated_share,elevated_failures,elevated_failure_rate,elevated_rate_lift_vs_normal,elevated_failure_capture,odds_ratio,fisher_p_value,2005_2012_elevated_observations,2005_2012_elevated_failures,2005_2012_elevated_failure_rate,2005_2012_normal_failure_rate,2005_2012_lift,2013_2019_elevated_observations,2013_2019_elevated_failures,2013_2019_elevated_failure_rate,2013_2019_normal_failure_rate,2013_2019_lift,2020_2026_elevated_observations,2020_2026_elevated_failures,2020_2026_elevated_failure_rate,2020_2026_normal_failure_rate,2020_2026_lift,rolling4w_atr_threshold,weekly_atr_threshold,sma_length_weeks,elevated_score_cutoff,higher_risk_subperiods,minimum_subperiod_lift,median_subperiod_lift,cluster_tests_higher,cluster_test_count,minimum_cluster_removal_lift,median_cluster_removal_lift,is_anchor_definition,classification
150,495,5,0.010101010101010102,605,0.55,15,0.024793388429752067,2.4545454545454546,0.75,2.4915254237288136,0.07420263701918331,222,8,0.036036036036036036,0.005649717514124294,6.378378378378378,188,1,0.005319148936170213,0.011299435028248588,0.4707446808510638,195,6,0.03076923076923077,0.014184397163120567,2.1692307692307695,1.15,1.15,30,1,2,0.4707446808510638,2.1692307692307695,13,13,1.8161073825503358,2.325503355704698,False,Supportive
151,570,6,0.010526315789473684,530,0.4818181818181818,14,0.026415094339622643,2.509433962264151,0.7,2.550387596899225,0.06877409328611225,199,7,0.035175879396984924,0.01,3.517587939698492,165,1,0.006060606060606061,0.01,0.6060606060606061,166,6,0.03614457831325301,0.011764705882352941,3.072289156626506,1.3,1.2,30,1,2,0.6060606060606061,3.072289156626506,13,13,1.8138195777351247,2.370441458733205,False,Supportive
152,494,5,0.010121457489878543,606,0.5509090909090909,15,0.024752475247524754,2.4455445544554455,0.75,2.482233502538071,0.11005149932519752,223,8,0.03587443946188341,0.005681818181818182,6.313901345291479,191,1,0.005235602094240838,0.011494252873563218,0.4554973821989529,192,6,0.03125,0.013888888888888888,2.25,1.2,1.1,30,1,2,0.4554973821989529,2.25,13,13,1.8093802345058627,2.3169179229480736,False,Supportive
153,493,5,0.010141987829614604,607,0.5518181818181818,15,0.02471169686985173,2.436573311367381,0.75,2.472972972972973,0.1100297279908034,227,8,0.03524229074889868,0.005813953488372093,6.061674008810574,191,1,0.005235602094240838,0.011494252873563218,0.4554973821989529,189,6,0.031746031746031744,0.013605442176870748,2.3333333333333335,1.25,1.1,45,1,2,0.4554973821989529,2.3333333333333335,13,13,1.8093802345058627,2.308361204013378,False,Supportive
154,493,5,0.010141987829614604,607,0.5518181818181818,15,0.02471169686985173,2.436573311367381,0.75,2.472972972972973,0.1100297279908034,221,8,0.03619909502262444,0.0056179775280898875,6.44343891402715,189,1,0.005291005291005291,0.011363636363636364,0.4656084656084656,197,6,0.030456852791878174,0.014388489208633094,2.116751269035533,1.15,1.15,35,1,2,0.4656084656084656,2.116751269035533,13,13,1.8026755852842813,2.308361204013378,False,Supportive
155,568,6,0.01056338028169014,532,0.48363636363636364,14,0.02631578947368421,2.4912280701754383,0.7,2.5315315315315314,0.06914518817096815,198,7,0.03535353535353535,0.009950248756218905,3.5530303030303028,166,1,0.006024096385542169,0.010050251256281407,0.5993975903614458,168,6,0.03571428571428571,0.011904761904761904,3.0,1.3,1.2,35,1,2,0.5993975903614458,3.0,13,13,1.8005098789037604,2.353091140854047,False,Supportive
156,492,5,0.01016260162601626,608,0.5527272727272727,15,0.024671052631578948,2.4276315789473686,0.75,2.463743676222597,0.11003203522438536,222,8,0.036036036036036036,0.005649717514124294,6.378378378378378,192,1,0.005208333333333333,0.011560693641618497,0.4505208333333333,194,6,0.030927835051546393,0.014084507042253521,2.195876288659794,1.2,1.1,35,1,2,0.4505208333333333,2.195876288659794,13,13,1.7959933222036726,2.2998330550918196,False,Supportive
157,563,6,0.010657193605683837,537,0.48818181818181816,14,0.0260707635009311,2.446306641837368,0.7,2.4850223072020396,0.07039480118113707,201,7,0.03482587064676617,0.010101010101010102,3.4477611940298507,167,1,0.005988023952095809,0.010101010101010102,0.592814371257485,169,6,0.03550295857988166,0.011976047904191617,2.964497041420118,1.3,1.2,50,1,2,0.592814371257485,2.964497041420118,13,13,1.7807351077313054,2.310290404040404,False,Supportive
158,563,6,0.010657193605683837,537,0.48818181818181816,14,0.0260707635009311,2.446306641837368,0.7,2.4850223072020396,0.07039480118113707,202,7,0.034653465346534656,0.01015228426395939,3.413366336633664,168,1,0.005952380952380952,0.01015228426395939,0.5863095238095238,167,6,0.03592814371257485,0.011834319526627219,3.035928143712575,1.3,1.2,40,1,2,0.5863095238095238,3.035928143712575,13,13,1.7741935483870968,2.310290404040404,False,Supportive
159,487,5,0.01026694045174538,613,0.5572727272727273,15,0.024469820554649267,2.383360522022839,0.75,2.4180602006688963,0.11040510299104603,226,8,0.035398230088495575,0.005780346820809248,6.123893805309735,191,1,0.005235602094240838,0.011494252873563218,0.4554973821989529,196,6,0.030612244897959183,0.014285714285714285,2.142857142857143,1.15,1.15,40,1,2,0.4554973821989529,2.142857142857143,13,13,1.769485903814262,2.257615894039735,False,Supportive
